             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          10499050   general 5-charge   bdneff PD       0:00      1 (Priority)
          10499049   general 4-charge   bdneff PD       0:00      1 (Priority)
          10499048   general 3-charge   bdneff PD       0:00      1 (Priority)
          10499047   general 2-charge   bdneff PD       0:00      1 (Priority)
          10499046   general 1-charge   bdneff PD       0:00      1 (Priority)
          10499045   general 0-charge   bdneff PD       0:00      1 (Priority)
          10499072   general 7-charge   bdneff PD       0:00      1 (Priority)
          10499071   general 6-charge   bdneff PD       0:00      1 (Priority)
          10499070   general 5-charge   bdneff PD       0:00      1 (Priority)
          10499069   general 4-charge   bdneff PD       0:00      1 (Priority)
          10499068   general 3-charge   bdneff PD       0:00      1 (Priority)
          10499067   general 2-charge   bdneff PD       0:00      1 (Priority)
          10499066   general 1-charge   bdneff PD       0:00      1 (Priority)
          10499075   general 10-charg   bdneff PD       0:00      1 (Priority)
          10499074   general 9-charge   bdneff PD       0:00      1 (Priority)
          10499073   general 8-charge   bdneff PD       0:00      1 (Priority)
          10499086   general 10-charg   bdneff PD       0:00      1 (Priority)
          10499085   general 9-charge   bdneff PD       0:00      1 (Priority)
          10499084   general 8-charge   bdneff PD       0:00      1 (Priority)
          10499083   general 7-charge   bdneff PD       0:00      1 (Priority)
          10499082   general 6-charge   bdneff PD       0:00      1 (Priority)
          10499081   general 5-charge   bdneff PD       0:00      1 (Priority)
          10499080   general 4-charge   bdneff PD       0:00      1 (Priority)
          10499079   general 3-charge   bdneff PD       0:00      1 (Priority)
          10499078   general 2-charge   bdneff PD       0:00      1 (Priority)
          10499077   general 1-charge   bdneff PD       0:00      1 (Priority)
          10499076   general 0-charge   bdneff PD       0:00      1 (Priority)
          10499097   general 10-charg   bdneff PD       0:00      1 (Priority)
          10499096   general 9-charge   bdneff PD       0:00      1 (Priority)
          10499095   general 8-charge   bdneff PD       0:00      1 (Priority)
          10499094   general 7-charge   bdneff PD       0:00      1 (Priority)
          10499093   general 6-charge   bdneff PD       0:00      1 (Priority)
          10499092   general 5-charge   bdneff PD       0:00      1 (Priority)
          10499091   general 4-charge   bdneff PD       0:00      1 (Priority)
          10499090   general 3-charge   bdneff PD       0:00      1 (Priority)
          10499089   general 2-charge   bdneff PD       0:00      1 (Priority)
          10499088   general 1-charge   bdneff PD       0:00      1 (Priority)
          10499087   general 0-charge   bdneff PD       0:00      1 (Priority)
          10499101   general 1-charge   bdneff PD       0:00      1 (Priority)
          10499100   general 0-charge   bdneff PD       0:00      1 (Priority)
          10499104   general 4-charge   bdneff PD       0:00      1 (Priority)
          10499103   general 3-charge   bdneff PD       0:00      1 (Priority)
          10499102   general 2-charge   bdneff PD       0:00      1 (Priority)
          10499105   general 5-charge   bdneff PD       0:00      1 (Priority)
          10499110   general 10-charg   bdneff PD       0:00      1 (Priority)
          10499109   general 9-charge   bdneff PD       0:00      1 (Priority)
          10499108   general 8-charge   bdneff PD       0:00      1 (Priority)
          10499107   general 7-charge   bdneff PD       0:00      1 (Priority)
          10499106   general 6-charge   bdneff PD       0:00      1 (Priority)
          10500845   general    GRIDS lwelbank PD       0:00      1 (Priority)
          10500846   general    GRIDS lwelbank PD       0:00      1 (Priority)
          10505219   general k_tpssh. onwokonk PD       0:00      1 (Priority)
          10506341   general   job.sh    kewu3 PD       0:00      1 (Priority)
          10506342   general   job.sh    kewu3 PD       0:00      1 (Priority)
  10509072_[1-100]   general   sbatch snambira PD       0:00      1 (Priority)
  10509073_[1-100]   general   sbatch snambira PD       0:00      1 (Priority)
  10509074_[1-100]   general   sbatch snambira PD       0:00      1 (Priority)
  10509075_[1-100]   general   sbatch snambira PD       0:00      1 (Priority)
  10509076_[1-100]   general   sbatch snambira PD       0:00      1 (Priority)
  10509077_[1-100]   general   sbatch snambira PD       0:00      1 (Priority)
          10509123   general bl_8L8ad    osg01 PD       0:00      1 (Priority)
          10509124   general bl_8iLj8    osg01 PD       0:00      1 (Priority)
          10509153   general run_pecu saspark2 PD       0:00      4 (Priority)
          10509499   general bl_uVCeD    osg01 PD       0:00      1 (Priority)
          10509500   general bl_QvRNl    osg01 PD       0:00      1 (Priority)
          10314441   general  ntir025 mherrma1 PD       0:00      2 (Dependency)
          10502639   general _interac  sjung61  R   16:08:28      1 cg009
          10498847   general _interac    unath  R   20:26:21      1 cg009
          10463580   general _interac  abajaj7  R 4-14:51:20      1 cg010
          10509010   general exp_6_tr muddin11  R    6:48:12      1 cg003
          10509009   general exp_6_tr muddin11  R    6:48:13      1 cg003
          10509006   general exp_4_tr muddin11  R    6:54:49      1 cg002
          10509005   general exp_4_tr muddin11  R    6:54:59      1 cg004
          10494640   general exp_5_tr muddin11  R 1-18:16:31      1 cg004
          10481288   general _interac   yche14  R 3-06:05:39      1 cg011
     10414036_1925   general launch_P jzhan613  R   16:09:14      1 c011
     10414036_1924   general launch_P jzhan613  R   16:25:14      1 c069
     10414036_1923   general launch_P jzhan613  R   16:31:13      1 c026
     10414036_1919   general launch_P jzhan613  R   16:49:14      1 c094
     10414036_1895   general launch_P jzhan613  R   21:36:59      1 c060
          10408932   general ood-virt dongaoma  R 3-17:43:34      1 g048
          10464257   general A2_2100_  xdeng40  R   19:45:27      1 c005
          10464258   general A2_2060_  xdeng40  R   19:45:27      1 c027
          10464259   general  2100.sh  xdeng40  R   19:45:27      1 c063
          10464260   general 2010_GFD  xdeng40  R   19:45:27      1 c066
          10464261   general 2100_G45  xdeng40  R   19:45:27      1 c037
          10464262   general 2100G45_  xdeng40  R   19:45:27      1 c029
          10464263   general 2100_coo  xdeng40  R   19:45:27      1 c047
          10464264   general 2100_cgr  xdeng40  R   19:45:27      1 c048
          10464265   general A2_2010_  xdeng40  R   19:45:27      1 c069
          10370282   general ood-virt  jpang12  R   23:34:26      1 g034
     10414036_1340   general launch_P jzhan613  R 3-18:09:34      1 c057
     10414036_1335   general launch_P jzhan613  R 3-18:25:34      1 c054
        10471873_1   general threeeff   speyer  R   19:44:29      1 c092
     10414036_1072   general launch_P jzhan613  R 4-16:31:33      1 c045
     10414036_1073   general launch_P jzhan613  R 4-16:31:33      1 c102
     10414036_1004   general launch_P jzhan613  R 4-19:13:32      1 c077
      10414036_998   general launch_P jzhan613  R 4-19:33:32      1 c083
      10414036_999   general launch_P jzhan613  R 4-19:33:32      1 c096
      10414036_994   general launch_P jzhan613  R 4-19:35:32      1 c056
      10414036_992   general launch_P jzhan613  R 4-19:37:32      1 c029
      10414036_993   general launch_P jzhan613  R 4-19:37:32      1 c038
      10414036_924   general launch_P jzhan613  R 4-21:46:29      1 c014
      10414036_919   general launch_P jzhan613  R 4-21:56:29      1 c016
      10414036_918   general launch_P jzhan613  R 4-21:58:29      1 c109
      10414036_914   general launch_P jzhan613  R 4-22:00:29      1 c035
      10414036_912   general launch_P jzhan613  R 4-22:04:29      1 c007
      10414036_913   general launch_P jzhan613  R 4-22:04:29      1 c086
      10414036_900   general launch_P jzhan613  R 4-22:30:29      1 c038
          10416011   general NiBr2_P1    skbag  R 4-19:27:35      4 c[019-020,033,101]
          10416009   general NiBr2_P1    skbag  R 4-19:29:35      4 c[064-065,100,109]
          10416010   general NiBr2_P1    skbag  R 4-19:29:35      4 c[005,031,040,096]
          10489084   general   job.sh    kewu3  R   16:38:36      1 c101
          10489082   general   job.sh    kewu3  R   19:44:28      1 c021
          10489083   general   job.sh    kewu3  R   19:44:28      1 c026
          10489085   general   job.sh    kewu3  R   19:44:28      1 c029
          10489087   general   job.sh    kewu3  R   19:44:28      1 c037
          10489101   general   job.sh    kewu3  R   19:44:28      1 c096
          10489103   general   job.sh    kewu3  R   19:44:28      1 c096
          10489104   general   job.sh    kewu3  R   19:44:28      1 c009
          10489105   general   job.sh    kewu3  R   19:44:28      1 c009
          10489106   general   job.sh    kewu3  R   19:44:28      1 c009
          10489107   general   job.sh    kewu3  R   19:44:28      1 c040
          10489109   general   job.sh    kewu3  R   19:44:28      1 c039
          10489126   general   job.sh    kewu3  R   19:44:28      1 c039
          10489127   general   job.sh    kewu3  R   19:44:28      1 c034
          10489128   general   job.sh    kewu3  R   19:44:28      1 c034
          10489130   general   job.sh    kewu3  R   19:44:28      1 c034
          10489131   general   job.sh    kewu3  R   19:44:28      1 c034
          10489132   general   job.sh    kewu3  R   19:44:28      1 c098
          10489133   general   job.sh    kewu3  R   19:44:28      1 c098
          10489134   general   job.sh    kewu3  R   19:44:28      1 c098
          10489135   general   job.sh    kewu3  R   19:44:28      1 c098
          10489666   general   job.sh    kewu3  R   19:44:28      1 c069
          10489667   general   job.sh    kewu3  R   19:44:28      1 c068
          10489668   general   job.sh    kewu3  R   19:44:28      1 c068
          10489669   general   job.sh    kewu3  R   19:44:28      1 c070
          10489793   general   job.sh    kewu3  R   19:44:28      1 c070
          10490140   general   job.sh    kewu3  R   19:44:28      1 c076
          10490141   general   job.sh    kewu3  R   19:44:28      1 c076
          10490142   general   job.sh    kewu3  R   19:44:28      1 c077
          10490144   general   job.sh    kewu3  R   19:44:28      1 c077
          10490152   general   job.sh    kewu3  R   19:44:28      1 c077
          10490153   general   job.sh    kewu3  R   19:44:28      1 c011
          10490154   general   job.sh    kewu3  R   19:44:28      1 c011
          10490155   general   job.sh    kewu3  R   19:44:28      1 c011
          10490156   general   job.sh    kewu3  R   19:44:28      1 c011
          10490157   general   job.sh    kewu3  R   19:44:28      1 c011
          10490918   general   job.sh    kewu3  R   19:44:28      1 c011
          10490919   general   job.sh    kewu3  R   19:44:28      1 c043
          10490920   general   job.sh    kewu3  R   19:44:28      1 c042
          10490921   general   job.sh    kewu3  R   19:44:28      1 c042
          10490923   general   job.sh    kewu3  R   19:44:28      1 c042
          10490924   general   job.sh    kewu3  R   19:44:28      1 c042
          10490925   general   job.sh    kewu3  R   19:44:28      1 c042
      10414036_438   general launch_P jzhan613  R 5-18:24:25      1 c086
      10414036_436   general launch_P jzhan613  R 5-18:26:14      1 c087
      10414036_437   general launch_P jzhan613  R 5-18:26:14      1 c112
      10414036_422   general launch_P jzhan613  R 5-18:50:10      1 c031
      10414036_423   general launch_P jzhan613  R 5-18:50:10      1 c050
      10414036_421   general launch_P jzhan613  R 5-18:54:10      1 c044
      10414036_408   general launch_P jzhan613  R 5-19:39:53      1 c006
      10414036_407   general launch_P jzhan613  R 5-19:42:16      1 c055
      10414036_406   general launch_P jzhan613  R 5-19:47:36      1 c101
      10414036_377   general launch_P jzhan613  R 5-21:17:42      1 c025
      10414036_378   general launch_P jzhan613  R 5-21:17:42      1 c066
      10414036_376   general launch_P jzhan613  R 5-21:21:04      1 c058
          10493979   general pixel2ca  zzhou82  R   21:41:26      1 g047
          10493978   general pixel2ca  zzhou82  R   21:44:44      1 g021
          10497219   general heP21.ob mingming  R   19:44:21      1 c060
          10499162   general  dop5_90 cdossan2  R   16:48:27      1 c094
